threshold,partition,runtime,num_communities,modularity,conductance,community_sizes
0.05,"[45 29 41  0  1  2  1 33 15 45 27  3  4  5 41  6 45  7  8  9 10 29 11 13
  4 13 29 12 13 14 29  0 41  0 29 15 16 40 29 42 17 18 19 19 13 45 19 15
 20 21 14 22 23 24 29 25 26 22 27 28 19 40 44  5  0 29 19 30 50 31 32  1
 46 33 27 34 35 36  0 37 46 31 31 46 13 45 44 38 45 47 39 40 41  0 42 43
 19 29 16  8 19 29 22 29  0  0 44 45 19 46 44 47 48 49  5 50 51 52 44 13
 53 54 34 47]",0.02075648307800293,55,0.5302399365457061,0.28552436125965536,"[11, 8, 8, 7, 6, 5, 4, 4, 3, 3, 3, 3, 3, 3, 3, 3, 2, 2, 2, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
0.06,"[ 0  8  1  2  3  2  4 23 39 28  5  6  7  8  9  0 28 10 11 12 15 13 14  6
 14 15 16 14 17  8  1 18  1 15 23 19 15 42 20 21 29 14 22 29 23 24 17 45
 25  8 26 27 45 28 29 30  7 31 15 29 32 50 33 34  2 48  4 28 35 36  1 37
 38 33 33 38 14 39 40 41  0 56 19 18 18 42 43 29 15 44 10 29 15 45 46 18
  1 47 47 29 48 47 56  1 49 50 51 52 47 14 53 54 55 56]",0.01074981689453125,57,0.5681486880466495,0.2466753246753247,"[7, 7, 6, 6, 4, 4, 4, 4, 3, 3, 3, 3, 3, 3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
0.07,"[ 7  6  0  1  2  1 32 17 39 33  3  4  5  6  7  8  9 10 12 11 14  4 38 12
 13 14 25 15  0 16  0 17 42 12 18 19 20 44 21 22 23 17 24 25 46 26 15 27
 46 33 44 28  5 29 12 23 30 55 36 31  1 51 32 33 34 35  0 37 36 36 37 38
 39 40 41  7 42 16 16 18 44 12 43  9 44 45 46 47 16 48 49 50 44 51 49 52
 53 54 55 56 57 49 38 58 59 60 52]",0.0066623687744140625,61,0.5442444973230212,0.2503117913832199,"[5, 5, 4, 4, 3, 3, 3, 3, 3, 3, 3, 3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
0.08,"[ 7  6 16  0  1  0  2 24 39 29  3  4  5  6  7 43  8 12  9 10  4 11 12 13
 10 14 27 16 15 16 24 17 12 18 19 20 21 22 23 24 25 14 45 26 27 28 29 21
 30  5 31 12 23 32 33 34  0 35  2 29 36 37 38 33 38 11 39 40 41  7 17 15
 47 18 21 12 42 43 21 44 45 46 47 48 56 49 21 35 50 51 52 53 54 55 56 11
 57 58 59 51]",0.004556417465209961,60,0.5563265306122444,0.1947845804988662,"[5, 5, 3, 3, 3, 3, 3, 3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
0.09,"[ 0 14  2  1  2 30 15  3 31  4  8  5  0  6  7 17 10  8 35 17  9 10 11 12
 14 13 14 15 16 17 18 19 20 38 21 22 15 23 11 40 12 24 31 38  5 25 17 22
 26 27 28 29 45 30 31 32 33 34 27 34 35  3 36 37 16 13 41 18 38  6 38 39
 40 41 42 43 44 38 45 46 47 48 49 50 43 35 51 52 53]",0.006723165512084961,54,0.5782821028440114,0.16483516483516483,"[5, 4, 3, 3, 3, 3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
0.1,"[ 8  0  1  2  3  4  5 25  6  7 26  8  9 25 10 11  7 12 13 14 15 16 17 18
  4 19 20 21 22 38 28  4  4 39 23 24 25 26 27 13 28 29 30 31 32  3 25 33
 34 35 30 35 36  5  4 37 19 17 38  9 38 12 39 40 48 41 42 43 44 45 46 47
 48 12 49 50 51]",0.0025060176849365234,52,0.48828125000000044,0.15555555555555556,"[5, 4, 3, 3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
0.11,"[ 0  1  2  3  4 27  5  8 21 36  6  7  8 32 10 11 12 13 14 15  3 34 16 17
 18 23  3  3 19 20 27 21 22 10 23 24 31 25 26 27 28 29 30 31 30 32  4 33
 34 14 35 36 37 19 38 39 40 41 42 43 44 45 46 39  9 47 48 49]",0.00252532958984375,50,0.4098750743604997,0.17333333333333334,"[4, 3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
0.12,"[ 0  1  2 21  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 37 19 22  7
 20 21 22 23 24 26 25 38 26 25 14 41 27 28 29 30 31 32 33 34 28 35 39 36
 39 16 37  2 38 29 39 13  5 40 41  9  1]",0.002274751663208008,42,0.5142857142857141,0.07407407407407407,"[3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
0.13,"[ 0  1  2 20  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18  5 19 20 18
 21 22 23 24 25 23 24 11 37 26 34 27 28 29 30 31 32 35 33 13 16  2 25 34
 35 10  4 36 37  7  1]",0.0016505718231201172,38,0.5176899063475551,0.0784313725490196,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
0.14,"[ 0  1 30  2  3  4  5  6  7  8  9 21 10 29 11 12 13 14 15  5 16  2 17  5
 19 18 19 20 21 33 22 23 24 25 26 27 31 28 29 13 30 18 31  4 32 33  7  1]",0.0015118122100830078,34,0.502958579881656,0.02564102564102564,"[3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
0.15,"[ 0  1  2 25 17  3  4  5  6  7  8  9 10 26 11 12 13 14 15 16 17 18 19 20
 22 21 23 22 23 24 25 26 27  3 28 29 30 31 32 33 34 35]",0.0015103816986083984,36,0.22778827977315685,0.1111111111111111,"[2, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
0.16,"[ 0  1  2  3 16 25  4  5  6  7  8  9 23 10 11 12 13 14 15 16 17 18 19 20
 21 20 22  3 23 24 25 26 27 28 29 30 31 32]",0.0015006065368652344,33,0.20181405895691615,0.13333333333333333,"[2, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
0.17,"[ 0  1 14  2  3  4  7  5  0 10  6  7  8  9 10 11  2 12 13  4 14 15  3 16
 17  4 18]",0.0010433197021484375,19,0.46444444444444455,0.09523809523809523,"[3, 2, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
0.18,"[ 0  1  2  3 16 14  7  4  5 10  6  7  8  9 10 11 12 13 14  2 15 16 17 18
 19 20]",0.0010051727294921875,21,0.30102040816326525,0.06666666666666667,"[2, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
0.19,"[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
 24]",0.0005056858062744141,25,-0.041420118343195256,0.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
